frequency	grapheme
0.0009259259	ɾ̥
0.0009259259	ɟʰ
0.0009259259	dzʰ
0.0009259259	k̃
0.0009259259	ɡ̃
0.0009259259	ntʰ
0.0009259259	ṽ
0.0009259259	nɟ
0.0009259259	ju
0.0009259259	wə
0.0009259259	ʉ̃
0.0009259259	æ̤ː
0.0009259259	æ̤
0.0009259259	ɵ̤
0.0009259259	ʊ̤ː
0.0009259259	ay
0.0009259259	vʰ
0.0009259259	s̰
0.0009259259	iã
0.0009259259	ʌi
0.0009259259	lʰ
0.0009259259	ʊa
0.0009259259	w̥
0.0009259259	ts̪
0.0009259259	uai
0.0009259259	iau
0.0009259259	˧˨˧
0.0009259259	ɔu
0.0009259259	ⱱ̟
0.0009259259	wa
0.0009259259	aʊ
0.0009259259	io
0.0009259259	ɥ̥
0.0009259259	ʊu
0.0009259259	ʊɪ
0.0009259259	ɔɪ
0.0009259259	ɲj
0.0009259259	ʰn̪
0.0009259259	ɛə
0.0009259259	iɔ
0.0009259259	ɑi
0.0009259259	ɡbː
0.0009259259	kpː
0.0009259259	ə̰̃
0.0009259259	t̪s
0.0009259259	ɲʰ
0.0009259259	uj
0.0009259259	aj
0.0009259259	aw
0.0009259259	t̪n̪
0.0009259259	tn
0.0009259259	pm
0.0009259259	kŋ
0.0009259259	ʈɳ
0.0009259259	tl
0.0009259259	nd̪
0.0009259259	eɪ
0.0009259259	˥˧
0.0009259259	tɕᶣ
0.0009259259	ɕᶣ
0.0009259259	sᶣ
0.0009259259	dʑᶣ
0.0009259259	ɲᶣ
0.0009259259	ʙ
0.0009259259	ɦʷ
0.0009259259	i̤ˑ
0.0009259259	ɔ̤ˑ
0.0009259259	ṳˑ
0.0009259259	e̤ˑ
0.0009259259	a̤ˑ
0.0009259259	ɛ̤ˑ
0.0009259259	ɗʷ
0.0009259259	ɓʷ
0.0009259259	m̤b̤
0.0009259259	n̤d̤ɮ̤
0.0009259259	ɦ̤
0.0009259259	mbv
0.0009259259	n̤d̤
0.0009259259	ntsʼ
0.0009259259	n̠t̠ʃʼ
0.0009259259	z̤
0.0009259259	ɪ̤
0.0009259259	kᶣ
0.0009259259	mɓ
0.0009259259	dx
0.0009259259	kǁxʼ
0.0009259259	ɡǁx
0.0009259259	kǁx
0.0009259259	kʘ
0.0009259259	ɡǀx
0.0009259259	kǀx
0.0009259259	kǃxʼ
0.0009259259	kǀxʼ
0.0009259259	oˤ
0.0009259259	bβ
0.0009259259	tɾ
0.0009259259	dɾ
0.0009259259	ndɾ
0.0009259259	u̞ː
0.0009259259	ɔ̝ː
0.0009259259	ɛ̝ː
0.0009259259	i̞ː
0.0009259259	ɛ̝
0.0009259259	mpʲ
0.0009259259	ɡʲʷ
0.0009259259	lˀ
0.0009259259	u̜
0.0009259259	i̜
0.0009259259	ə̤
0.0009259259	k̙
0.0009259259	ë̞
0.0009259259	ä
0.0009259259	ɽ̩
0.0009259259	l̠˞
0.0009259259	ʰw
0.0009259259	ʰn
