id	rule	source	target	weight	test
280	j -> ɣ / _ E	j E	ɣ @2	4	a d j aː d / a d ɣ aː d
281	j -> ɲ / _ V[+nasal]	j V[+nasal]	ɲ @2	3	j a j ã s iː k / j a ɲ ã s iː k
282	j -> ʒ / #|ʔ|V _	#|ʔ|V j	@1 ʒ	1	a k e l e j a p a / a k e l e ʒ a p a
283	j -> ʝ / # _ V	# j V	# ʝ @3	1	j a j ã s iː k / ʝ a j ã s iː k
284	j -> ʝ / V _ V	V j V	@1 ʝ @3	1	a k e l e j a p a / a k e l e ʝ a p a
285	j -> dz / # _	# j	# dz	1	j a j ã s iː k / dz a j ã s iː k
286	j -> dʒ / # _	# j	# dʒ	3	j a j ã s iː k / dʒ a j ã s iː k
287	j -> dʒ / V _ V	V j V	@1 dʒ @3	3	a k e l e j a p a / a k e l e dʒ a p a
288	j -> dʒ / _ E	j E	dʒ @2	1	a d j aː d / a d dʒ aː d
289	j -> tʃ / V _ V	V j V	@1 tʃ @3	4	a k e l e j a p a / a k e l e tʃ a p a
290	j -> tʃ / _ V	j V	tʃ @2	1	a d j aː d / a d tʃ aː d
291	j a -> aː / C _	C j a	@1 aː	4	b o n b j a r i b l i / b o n b aː r i b l i
292	j a -> e / r _ #	r j a #	r e #	1	i k ʔ e r j a / i k ʔ e r e
293	j a -> iː / C _ C	C j a C	@1 iː @4	1	b o n b j a r i b l i / b o n b iː r i b l i
294	a -> e / # j _	# j a	# j e	1	j a j ã s iː k / j e j ã s iː k
295	j e -> i / C _	C j e	@1 i	1	b e ŋ j e k e y / b e ŋ i k e y
296	j e -> o / # _	# j e	# o	1	j e j o v i j / o j o v i j
297	j e -> o / V _	V j e	@1 o	1	k l o j e k j a / k l o o k j a
298	k -> c / V _ V	V k V	@1 c @3	1	a k a n k m i k s / a c a n k m i k s
299	k -> c / _ #	k #	c #	1	a ə ɔ̃ l ɔ k / a ə ɔ̃ l ɔ c
300	k -> g / _ #	k #	g #	2	a ə ɔ̃ l ɔ k / a ə ɔ̃ l ɔ g
301	k -> g / _ V r	k V r	g @2 r	1	a z a x k y r / a z a x g y r
302	k -> g / _ L|j	k L|j	g @2	4	k l o j e k j a / g l o j e g j a
303	k -> g / _ w|j	k w|j	g @2	2	k l o j e k j a / k l o j e g j a
304	k -> g / _ ʔ	k ʔ	g ʔ	1	i k ʔ e r j a / i g ʔ e r j a
305	k -> g / a _ a	a k a	a g a	1	a k a n k m i k s / a g a n k m i k s
306	k -> g / n _	n k	n g	3	a k a n k m i k s / a k a n g m i k s
307	k -> h / _ #	k #	h #	1	a ə ɔ̃ l ɔ k / a ə ɔ̃ l ɔ h
308	k -> h / _ m	k m	h m	1	a k a n k m i k s / a k a n h m i k s
